x_m,z_m,speed_mps,t_s
0.000,0.000,910.000,0.000
85.837,-0.029,810.492,0.100
162.727,-0.119,730.002,0.200
232.304,-0.270,663.538,0.300
295.776,-0.483,607.401,0.400
354.049,-0.756,559.257,0.500
407.841,-1.089,517.585,0.600
457.722,-1.480,480.734,0.700
504.111,-1.928,447.688,0.800
547.362,-2.432,417.874,0.900
587.773,-2.990,390.865,1.000
625.601,-3.602,366.143,1.100
661.060,-4.265,343.561,1.200
694.434,-4.980,324.778,1.300
726.123,-5.750,309.710,1.400
756.445,-6.580,297.348,1.500
785.628,-7.471,286.789,1.600
813.811,-8.425,277.380,1.700
841.100,-9.443,268.926,1.800
867.582,-10.525,261.278,1.900
893.331,-11.672,254.315,2.000
918.410,-12.883,247.943,2.100
942.874,-14.160,242.073,2.200
966.766,-15.502,236.574,2.300
990.119,-16.910,231.399,2.400
